"Société";"Secteur";"Poids indiciel";"Rang mondial";"Chiffre d'affaires";"Résultat net";"Capitalisation boursière";"redirection"
"Total";"Pétrole";13,95;5;159,3;10,6;75,96;"www.total.fr/"
"Sanofi";"Pharmacie";11,01;4;30,4;5,5;64,74;"www.sanofi.fr/"
"BNP Paribas";"Banque";5,17;5;43,9;7,8;29,54;"www.bnpparibas.net/"
"LVMH";"Luxe";4,76;1;20,3;3;57,86;"www.lvmh.fr/"
"Air liquide";"Gaz industriel";4,61;1;13,5;1,4;25,01;"www.airliquide.fr/"
"Danone";"Agroalimentaire";4,59;6;17;1,9;28,48;"www.danone.com/"
"GDF Suez";"Énergie";4,45;2;84,5;4,6;47,21;"www.gdfsuez.com/"
"France Télécom";"Télécommunications";3,9;6;45,5;4,9;31,35;"www.orange.fr/"
"Schneider Electric";"Matériel électrique";3,44;1;19,6;1,7;22,53;"www.schneider-electric.fr/"
"L'Oréal";"Cosmétique";3,35;1;19,5;2,2;44,66;"www.loreal.fr/"
"AXA";"Assurance";3,27;1;91;2,7;20,4;"www.axa.fr/"
"Vivendi";"Télécommunications, Divertissement";3,26;10;28,9;2,2;18,99;"www.vivendi.com/"
"Vinci";"BTP";2,58;1;31,2;1,8;18,5;"www.vinci.com/"
"Pernod-Ricard";"Spiritueux";2,24;2;7,1;1;16,26;"www.pernod-ricard.com/fr"
"Unibail-Rodamco";"Immobilier";2,15;"nc";1,3;2,2;12,28;"www.unibail.fr/"
"Arcelor-Mittal";"Acier";2,1;1;58,9;2,2;20,85;"www.arcelormittal.com/dsfrance/"
"Saint-Gobain";"Matériaux de construction, Verre";2,04;1;40,1;1,1;15,83;"www.saint-gobain.fr/"
"Société générale";"Banque";2,02;9;26,4;3,9;13,14;"www.societegenerale.fr/"
"Essilor International";"Optique";1,87;1;3,9;0,5;11,58;"www.essilor.fr/"
"Carrefour";"Distribution";1,78;2;90,1;0,4;10,87;"www.carrefour.fr/"
"EADS";"Aéronautique";1,72;2;45,8;0,6;18,6;"www.eads.com/"
"PPR";"Luxe";1,47;2;14,6;1;14,4;"www.ppr.com/"
"Michelin";"Pneumatique";1,43;1;17,9;1;8,3;"www.viamichelin.fr/"
"Technip";"Ingéniérie pétrolière";1,23;"dans les cinq premiers";6,1;0,4;7,26;"www.technip.com/fr"
"Legrand";"Matériel électrique";0,95;1;3,9;0,4;8,1;"www.legrand.fr/"
"Renault";"Automobile";0,91;13;39;3,4;7,71;"www.renault.fr/"
"EDF";"Énergie";0,9;3;65,2;1;38,86;"france.edf.com/"
"Safran";"Aéronautique";0,9;"nc";11;0,2;10,15;"www.safran-group.com/"
"Lafarge SA";"Ciment";0,87;1;16,2;0,8;7,25;"www.lafarge.fr/"
"Alstom";"Transport et énergie";0,85;1;19,6;1,2;7,65;"www.alstom.com/fr/"
"Publicis Groupe";"Publicité";0,83;3;5,4;0,5;6,21;"www.publicisgroupe.com/"
"Vallourec";"Tubes";0,81;2;4,5;0,4;6,23;"www.vallourec.com/"
"Bouygues";"BTP";0,8;2;31,2;1,1;8,86;"www.bouygues-immobilier.com/"
"Crédit agricole";"Banque";0,77;10;34,2;1,3;11,66;"www.credit-agricole.fr/"
"Cap Gemini";"Services informatiques";0,66;5;8,7;0,3;3,96;"www.fr.capgemini.com/"
"Veolia Environnement";"Services collectifs";0,52;1;34,8;0,6;5,71;"www.veolia.fr/"
"Accor";"Hôtellerie";0,5;"dans les cinq premiers";5,9;3,6;4,95;"www.accor.com/fr.html"
"Alcatel-Lucent";"Télécommunications";0,5;"nc";16;0,3;5,51;"www.alcatel-lucent.com/fr/"
"STMicroelectronics";"Semi-conducteurs";0,5;"dans les cinq premiers";7,8;0,6;4,35;"www.st.com/"
"Peugeot";"Automobile";0,34;9;56,1;1,1;3,99;"www.peugeot.fr/"
